"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"96",100,3,"x3 x4 x6",0.746355353753692,0.717088663802195,0.658887554611412,6.94667154951064,163.085704679745,78.2378531180039,170.091691588056,334.385876857542,12.5942925969918,0.331689152783634,0.44450444459971
"99",101,3,"x3 x4 x9",0.745862840706956,0.716539322326989,0.656516935029201,7.00287858407142,163.143900526364,78.2802652295178,170.149887434674,335.035168728803,12.6187474928874,0.332333208306289,0.445367558572496
"117",102,3,"x4 x7 x8",0.743736926960662,0.714168110840738,0.648604526705271,7.24549410096589,163.393813348393,78.4625625564507,170.399800256704,337.837812280316,12.7243061165486,0.335113249359135,0.449093157054657
"129",103,3,"x7 x8 x9",0.741917789483777,0.712139072885751,0.642683977033175,7.45309940951892,163.606022358987,78.617568980483,170.612009267298,340.236025250054,12.8146322874223,0.337492121444292,0.452281139556081
"93",104,3,"x2 x7 x9",0.737053654509159,0.706713691567908,0.628958360553554,8.00820877045541,164.166177026421,79.02767647783,171.172163934732,346.648532128128,13.056152619147,0.343852913334177,0.460805386558128
"92",105,3,"x2 x7 x8",0.735788578115653,0.705302644821306,0.628846618693529,8.1525830018448,164.310165665158,79.1333195579298,171.316152573469,348.316312960069,13.1189678312681,0.345507244002607,0.463022394044757
"75",106,3,"x2 x3 x5",0.73146538289237,0.700480619379951,0.634909186849287,8.6459587305455,164.797071974095,79.4912465702195,171.803058882406,354.015685869996,13.3336287216189,0.351160653140747,0.470598660763022
"82",107,3,"x2 x4 x7",0.730834236276337,0.699776648154376,0.637907140041445,8.71798703496377,164.867499326769,79.54310665001,171.87348623508,354.847741731419,13.3649672311107,0.351985998715559,0.471704725803907
"100",108,3,"x3 x5 x6",0.73082295132499,0.699764061093259,0.630945533716434,8.71927490673597,164.868757070098,79.5440330100451,171.874743978409,354.862618955942,13.3655275661357,0.352000755959628,0.471724502334201
"79",109,3,"x2 x3 x9",0.730355094043966,0.699242220279808,0.620026228342949,8.77266815294199,164.920854880284,79.5824106938516,171.926841788594,355.479406534449,13.3887582220082,0.352612569327121,0.472544407835584
"103",110,3,"x3 x5 x9",0.72997893233766,0.698822655299698,0.629729058680046,8.81559683100828,164.962676501688,79.6132273922042,171.968663409999,355.975309617226,13.4074358904042,0.353104473096906,0.473203619661325
"76",111,3,"x2 x3 x6",0.729350882938758,0.698122138662461,0.621642805979978,8.88727167191633,165.032373300121,79.664601915513,172.038360208431,356.803282342334,13.4386206128582,0.353925768464701,0.474304256924407
"106",112,3,"x3 x6 x9",0.727941427516063,0.696550053767917,0.622170578862677,9.0481228619107,165.188198465531,79.7795431815699,172.194185373842,358.661401543288,13.5086047195939,0.355768902478994,0.47677428422096
"89",113,3,"x2 x6 x7",0.713973413935375,0.680970346312534,0.600588737617597,10.6421935718702,166.69021991471,80.8932510770313,173.696206823021,377.075771955825,14.2021626268367,0.374034766392202,0.501252798594237
"85",114,3,"x2 x5 x6",0.708899248319128,0.675310700048258,0.597196316205959,11.2212722461297,167.217759960387,81.2869307205652,174.223746868698,383.76516731275,14.4541116720949,0.380670213736525,0.510145117838644
"80",115,3,"x2 x4 x5",0.707427641103179,0.6736692919997,0.613037443536092,11.3892163812036,167.369037479352,81.4000678865836,174.375024387662,385.705222727195,14.527181820193,0.382594623172766,0.512724064242106
"81",116,3,"x2 x4 x6",0.702498603537439,0.668171519330221,0.59180968942468,11.9517326163467,167.870244540681,81.7756967295127,174.876231448992,392.203292262174,14.7719247794598,0.38904028768181,0.521362051039757
"91",117,3,"x2 x6 x9",0.702384892780794,0.668044688101654,0.573878309616992,11.9647096216688,167.881708926965,81.7843028884772,174.887695835275,392.353199905138,14.7775708932722,0.389188986363578,0.521561325644902
"124",118,3,"x5 x7 x9",0.701609996440871,0.667180380645587,0.611310454577483,12.053143066524,167.959718000632,81.8428801435851,174.965704908943,393.374764507164,14.8160470502964,0.390202312346553,0.52291930765752
"84",119,3,"x2 x4 x9",0.701324644513219,0.666862103495514,0.599432063206844,12.0857082660976,167.988393449146,81.8644200398084,174.994380357457,393.750950860604,14.8302157139097,0.390575464867329,0.523419378137988
"88",120,3,"x2 x5 x9",0.699514883328091,0.664843523712102,0.57955493771873,12.2922435247132,168.169623697766,82.0006455508785,175.175610606077,396.136802837957,14.9200763209971,0.392942075647881,0.52659092897637
"111",121,3,"x4 x5 x7",0.689807654209552,0.65401622969527,0.597878574024929,13.4000610052262,169.123454232453,82.7202523315109,176.129441140764,408.934077957683,15.4020722378603,0.405636144495201,0.543602549571539
"120",122,3,"x5 x6 x7",0.689377208898045,0.65353611761705,0.585137008916915,13.449184687656,169.165055542238,82.7517394222201,176.171042450549,409.501544431183,15.4234452661514,0.406199034517941,0.544356891746521
"127",123,3,"x6 x7 x9",0.681606365802392,0.644868638779591,0.535472832689157,14.3360161113881,169.906330791859,83.3142238769963,176.91231770017,419.746034984865,15.8092932354278,0.41636090625841,0.557975055368041
"118",124,3,"x4 x7 x9",0.680715503152723,0.64387498428573,0.572682826278585,14.4376839719061,169.990153321051,83.3779997991296,176.996140229362,420.920480780105,15.8535275019093,0.417525880492593,0.55953626477327
"116",125,3,"x4 x6 x9",0.660470786995994,0.621294339341685,0.545855187726575,16.7480704037681,171.834476684792,84.7900792216314,178.840463593103,447.609580132221,16.8587443775429,0.443999740082162,0.59501450744269
"122",126,3,"x5 x6 x9",0.658123206733059,0.618675884433027,0.542642727871325,17.0159831541966,172.041189528195,84.949402771443,179.047176436506,450.704452018272,16.9753094742791,0.447069652733693,0.59912856968044
"110",127,3,"x4 x5 x6",0.649450299339461,0.609002256955553,0.548297356911998,18.0057608034279,172.792751843853,85.5304678326537,179.798738752164,462.138155771263,17.40594790879,0.458411147017628,0.614327573251413
"114",128,3,"x4 x6 x7",0.635002970858855,0.592887929034877,0.539340125329595,19.654532336693,174.004353397988,86.4731541675361,181.010340306299,481.184418618637,18.1233053804432,0.47730380733842,0.639646072250935
